Price,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,rating
78000,4,0,1,2,2,0,1,1,0,0,1,0,2
73063,3,0,1,4,1,0,1,1,0,0,0,0,1
100990,4,0,1,2,2,0,1,1,0,0,2,0,1
74990,1,0,1,4,1,0,1,1,0,0,0,0,1
75990,0,0,1,0,1,0,1,1,0,0,2,0,2
84086,1,0,1,2,1,0,1,1,0,1,1,0,1
75990,0,0,1,2,1,0,4,1,0,0,2,0,2
77990,0,0,1,2,1,0,4,1,0,0,2,0,2
77990,0,0,1,0,1,0,4,1,0,0,2,0,2
82990,0,0,1,0,1,0,4,1,0,0,2,0,2
87990,0,0,1,2,1,0,4,1,0,0,2,0,1
84500,0,0,1,2,1,0,4,1,0,0,2,0,2
74190,5,0,1,2,1,2,4,1,0,0,0,0,2
64990,1,0,1,2,1,0,4,1,0,0,0,0,1
125394,1,0,1,0,1,0,1,2,0,0,0,1,1
49990,2,0,1,2,1,0,0,0,0,0,0,0,1
46990,2,0,1,2,1,0,0,0,0,0,0,0,1
48990,5,0,1,2,1,0,0,0,0,0,0,0,1
59999,2,0,1,4,1,0,0,0,0,0,1,0,2
46990,0,0,1,0,1,0,0,0,0,0,0,0,2
52990,6,0,1,0,1,0,0,0,0,0,2,0,2
57999,1,0,1,3,1,0,0,0,0,1,1,0,1
52490,1,0,1,6,1,4,0,0,0,0,0,0,1
56990,1,0,1,4,1,0,0,0,0,0,2,0,2
61990,2,0,1,4,1,0,0,0,0,0,1,0,2
58090,5,0,1,2,1,0,0,0,0,1,0,0,1
56990,0,0,1,0,1,0,0,0,0,0,0,0,1
61597,2,0,1,4,1,0,0,0,0,0,0,0,1
81990,0,0,1,4,1,0,0,0,0,0,0,0,1
61249,0,0,1,0,1,0,0,0,0,0,0,0,1
58990,5,0,1,2,1,0,0,0,0,1,0,0,1
83990,0,0,1,0,1,0,0,0,0,0,1,0,1
145990,6,0,1,0,1,1,0,2,1,1,3,0,2
64990,4,0,1,4,1,0,0,0,0,0,1,0,2
46790,4,0,1,4,1,0,0,0,0,0,0,0,2
44599,4,0,1,3,0,0,0,0,0,0,0,0,2
72964,2,0,1,4,1,0,0,0,0,0,1,0,2
48790,4,0,1,0,1,0,0,0,0,1,0,0,1
56491,2,0,1,0,1,0,0,0,0,0,1,0,1
50990,0,0,1,2,1,0,2,0,0,1,0,0,2
55990,0,0,1,0,1,0,2,0,0,0,2,0,2
57990,2,0,1,2,1,0,2,0,0,0,0,0,2
52990,0,0,1,2,1,0,2,0,0,0,0,0,1
57990,5,0,1,2,1,0,2,0,0,0,0,0,2
56990,2,0,1,2,1,0,2,0,0,0,0,0,2
55490,2,0,1,2,1,0,2,0,0,0,0,0,1
62490,5,0,1,2,1,0,2,0,0,0,1,0,1
64990,0,0,1,2,2,0,2,0,0,0,0,0,2
59990,1,0,1,2,1,0,2,0,0,0,1,0,2
60190,0,0,1,2,1,0,2,0,0,0,1,0,2
54490,0,0,1,5,1,0,2,0,0,0,2,0,2
60990,1,0,1,5,1,0,2,0,0,0,2,0,2
55790,5,0,1,2,0,0,2,0,0,0,0,0,2
64990,0,0,1,2,2,0,2,0,0,0,0,0,2
58990,0,0,1,2,2,0,2,0,0,0,0,0,2
54990,5,0,1,2,1,0,2,0,0,0,0,0,1
71990,4,0,1,2,1,0,2,0,0,0,2,0,2
69900,5,0,1,2,1,0,2,0,0,0,1,0,1
65990,1,0,1,2,1,0,2,0,0,0,1,0,2
49990,0,0,1,2,1,0,2,0,0,0,0,0,1
58990,5,0,1,2,1,0,2,0,0,0,0,0,2
74590,1,0,1,0,1,0,2,0,0,0,2,0,2
58990,0,0,1,0,1,0,2,0,0,1,1,0,3
64990,0,0,1,2,1,0,2,0,0,0,0,0,1
66490,5,0,1,2,1,0,2,0,0,0,1,0,1
77900,5,0,1,0,1,0,2,0,0,0,2,0,2
67490,5,0,1,2,1,0,2,0,0,0,1,0,1
61990,5,0,1,2,1,0,2,0,0,0,0,0,1
58990,5,0,1,2,1,0,2,0,0,0,0,0,2
74999,1,0,1,0,1,0,2,0,0,0,2,0,2
68900,0,0,1,2,1,0,2,0,0,0,0,0,3
71695,5,0,1,2,1,0,2,0,0,0,1,0,2
62490,2,0,1,2,2,0,2,0,0,0,0,0,1
62317,5,0,1,4,1,0,0,3,0,0,1,0,2
87990,5,0,4,4,2,0,2,1,0,0,2,0,2
73990,3,0,4,4,1,0,2,1,0,0,0,0,1
57990,0,0,4,0,2,0,1,1,0,0,0,0,2
61990,0,0,4,0,1,0,1,1,0,0,2,0,2
79990,6,0,4,0,2,0,1,1,0,0,2,0,2
68990,1,0,4,0,1,0,1,1,0,0,2,0,2
85990,1,0,4,2,2,0,1,1,0,0,0,1,2
99990,1,0,4,2,2,0,1,1,0,0,2,0,2
77990,0,0,4,2,1,0,1,1,0,0,0,0,2
79990,1,0,4,2,1,0,1,1,0,0,2,0,2
